HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON
BUHU,Bumblebee Hummingbird,Selasphorus heloisa,SELHE
WTHH,Wine-throated Hummingbird,Selasphorus ellioti,SELEL
VOHU,Volcano Hummingbird,Selasphorus flammula,SELFL
SCHU,Scintillant Hummingbird,Selasphorus scintilla,SELSCI
GLTH,Glow-throated Hummingbird,Selasphorus ardens,SELARD
USHU,Unidentified Selasphorus Hummingbird,Selaphorus (sp),SELSPS,
DUHU,Dusky Hummingbird,Phaeoptila sordida,PHASOR
CUEM,Cuban Emerald,Riccordia ricordii,RICRIC
BREM,Brace's Emerald,Riccordia bracei,RICBRA
HIEM,Hispaniolan Emerald,Riccordia swainsonii,RICSWA
PREM,Puerto Rican Emerald,Riccordia maugaeus,RICMAU
BHHU,Blue-headed Hummingbird,Riccordia bicolor,RICBIC
BBIH,Broad-billed Hummingbird,Cynanthus latirostris,CYNLAT
TMHU,Tres Marias Hummingbird,Cynanthus lawrencei,CYNLAW
TCHU,Turquoise-crowned Hummingbird,Cynanthus doubledayi,CYNDOU
GCEM,Golden-crowned Emerald,Cynanthus auriceps,CYNAUR
COEM,Cozumel Emerald,Cynanthus forficatus,CYNFOR
CAEM,Canivet's Emerald,Cynanthus canivetii,CYNCAN
GAEM,Garden Emerald,Chlorostilbon assimilis,CHLASS
WEHU,White-eared Hummingbird,Basilinna leucotis,BASLE
XAHU,Xantus's Hummingbird,Basilinna xantusii,BASXA
WTSA,Wedge-tailed Sabrewing,Pampa curvipennis,PAMCU
RUSA,Rufous Sabrewing,Pampa rufa,PAMRU
ECHU,Emerald-chinned Hummingbird,Abeillia abeillei,ABEAB
VHHU,Violet-headed Hummingbird,Klais guimeti,KLAGU
ANCH,Antillean Crested Hummingbird,Orthorhyncus cristatus,ORTCR
VISA,Violet Sabrewing,Campylopterus hemileucurus,CAMHE
BTPL,Bronze-tailed Plumeleteer,Chalybura urochrysia,CHAUR
WVPL,White-vented Plumeleteer,Chalybura buffonii,CHABU
CRWO,Crowned Woodnymph,Thalurania colombica,THACO
SNOC,Snowcap,Microchera albocoronata,MICAL
CHEM,Coppery-headed Emerald,Microchera cupreiceps,MICCU
WTEM,White-tailed Emerald,Microchera chionura,MICCH
VCAH,Violet-capped Hummingbird,Goldmania violiceps,GOLVI
PIHU,Pirre Hummingbird,Goldmania bella,GOLBE
MEWO,Mexican Woodnymph,Eupherusa ridgwayi,EUPRID
WTAH,White-tailed Hummingbird,Eupherusa poliocerca,EUPPOL
BCAH,Blue-capped Hummingbird,Eupherusa cyanophrys,EUPCYP,
STHM,Stripe-tailed Hummingbird,Eupherusa eximia,EUPEXI
BLBH,Black-bellied Hummingbird,Eupherusa nigriventris,EUPNIG
SBRH,Scaly-breasted Hummingbird,Phaeochroa cuvierii,PHACUV
RBST,Red-billed Streamertail,Trochilus polytmus,TROPOL
BBST,Black-billed Streamertail,Trochilus scitulus,TROSCI
VCHU,Violet-crowned Hummingbird,Ramosomyia violiceps,RAMVIO
GFHU,Green-fronted Hummingbird,Ramosomyia viridifrons,RAMVIR
AZCH,Azure-crowned Hummingbird,Saucerottia cyanocephala,SAUCYC,
BVHU,Blue-vented Hummingbird,Saucerottia hoffmanni,SAUHOF
BEHU,Berylline Hummingbird,Saucerottia beryllina,SAUBER
BTAH,Blue-tailed Hummingbird,Saucerottia cyanura,SAUCYR,
SBEH,Snowy-bellied Hummingbird,Saucerottia edward,SAUEDW
